protein,length,pLDDT,pTM,plddt_class,id
group_9056,134,41.3,0.378,Very low,NA
group_5141,134,68.5,0.729,Low,NA
gloA,135,86.3,0.863,Confident,NA
group_4935,135,70.7,0.686,Confident,NA
group_4940,135,87.3,0.874,Confident,NA
cueR,135,85.5,0.76,Confident,NA
menI,136,90.3,0.919,Very high,NA
hycH,136,78.5,0.783,Confident,NA
rplP,136,71.6,0.737,Confident,NA
group_4761,136,82.7,0.716,Confident,NA
group_9202,136,82,0.823,Confident,NA
yccU,137,90.7,0.92,Very high,NA
hns_2,137,76.8,0.367,Confident,NA
group_4575,137,33.4,0.276,Very low,NA
group_8501,137,44.7,0.42,Very low,NA
group_4592,137,73,0.579,Confident,NA
group_4595,137,49.9,0.286,Very low,NA
group_4430,138,90.8,0.895,Very high,NA
group_8596,138,49.4,0.368,Very low,NA
nusB,139,84.1,0.881,Confident,NA
fdhF_2,139,80.8,0.66,Confident,NA
umuD_1,139,73.9,0.734,Confident,NA
higA_2,139,82.8,0.517,Confident,NA
group_4303,139,41.3,0.273,Very low,NA
group_4302,139,87.9,0.896,Confident,NA
group_9193,139,66.2,0.671,Low,NA
group_9223,140,65.8,0.459,Low,NA
exbD,141,73.7,0.544,Confident,NA
nsrR,141,82.6,0.828,Confident,NA
arsC_2,141,82.6,0.829,Confident,NA
group_9070,141,73.1,0.694,Confident,NA
group_3875,141,51.9,0.274,Low,NA
group_3699,142,58.5,0.397,Low,NA
tolR,142,69.9,0.532,Low,NA
rplM,142,78.2,0.769,Confident,NA
rplK,142,74.6,0.657,Confident,NA
group_8633,142,73.2,0.648,Confident,NA
fruB_1,142,84.8,0.876,Confident,NA
group_3711,142,86.8,0.866,Confident,NA
group_3715,142,72.1,0.743,Confident,NA
ndk,143,90.9,0.916,Very high,NA
pdeL_2,143,74.3,0.754,Confident,NA
group_3545,143,68.7,0.646,Low,NA
group_3553,143,62.8,0.698,Low,NA
infC,144,72.5,0.554,Confident,NA
rplO,144,61.6,0.447,Low,NA
group_8555,144,68.4,0.4,Low,NA
group_8609,144,79.5,0.835,Confident,NA
group_8977,144,66.8,0.691,Low,NA
group_3374,144,79.4,0.849,Confident,NA
group_9044,144,83.8,0.888,Confident,NA
dtd,145,86.9,0.899,Confident,NA
insF5_1,145,68.7,0.457,Low,NA
group_3215,145,79,0.803,Confident,NA
group_3216,145,37.3,0.224,Very low,NA
group_3218,145,26,0.116,Very low,NA
rzpD_2,145,72.5,0.335,Confident,NA
rzpD_3,145,72.8,0.343,Confident,NA
group_9317,145,75.7,0.704,Confident,NA
group_3074,146,72.5,0.711,Confident,NA
nuoA,147,66.7,0.462,Low,NA
group_2942,147,75.2,0.744,Confident,NA
yfdK_1,147,88.2,0.666,Confident,NA
yccF,148,78.3,0.796,Confident,NA
fur,148,77.7,0.655,Confident,NA
group_8412,148,63.5,0.448,Low,NA
farR,148,80.7,0.792,Confident,NA
group_2811,148,54.5,0.445,Low,NA
group_2816,148,70.8,0.681,Confident,NA
group_2819,148,76.4,0.783,Confident,NA
group_9149,148,65.7,0.378,Low,NA
nrdR,149,81.6,0.653,Confident,NA
rplI,149,74.1,0.565,Confident,NA
aroQ,149,86.8,0.898,Confident,NA
group_8721,149,77.1,0.762,Confident,NA
group_2684,149,69.9,0.679,Low,NA
moaE,150,85,0.876,Confident,NA
group_2563,150,70.7,0.717,Confident,NA
group_2564,150,86.4,0.891,Confident,NA
group_2565,150,86.1,0.871,Confident,NA
group_8783,150,69.3,0.739,Low,NA
group_2569,150,40,0.292,Very low,NA
group_9179,150,53.6,0.409,Low,NA
group_2452,151,47.7,0.28,Very low,NA
dksA,151,77.7,0.774,Confident,NA
group_8976,151,90.2,0.929,Very high,NA
mgsA,152,86.6,0.887,Confident,NA
dut,152,86.5,0.802,Confident,NA
mraZ,152,81.7,0.831,Confident,NA
hspA_1,152,63.2,0.588,Low,NA
group_2363,152,79.6,0.772,Confident,NA
yehP_1,152,77.6,0.806,Confident,NA
group_2370,152,56.9,0.485,Low,NA
group_2368,152,60.1,0.362,Low,NA
group_9063,152,87.4,0.91,Confident,NA
tsaE,153,84.6,0.888,Confident,NA
pyrI,153,77.6,0.728,Confident,NA
yjiG,153,76.7,0.661,Confident,NA
group_2243,153,72.9,0.542,Confident,NA
group_2249,153,83.7,0.877,Confident,NA
group_2250,153,70.8,0.682,Confident,NA
group_2101,154,59.9,0.517,Low,NA
group_8388,154,64.1,0.707,Low,NA
group_2106,154,85.6,0.878,Confident,NA
group_2110,154,69.8,0.694,Low,NA
mntR,155,79,0.737,Confident,NA
ybeY,155,87.7,0.9,Confident,NA
rnhA,155,87.7,0.912,Confident,NA
yfjT_2,155,68.5,0.698,Low,NA
group_1980,155,70.2,0.628,Confident,NA
ribE,156,88.6,0.909,Confident,NA
accB,156,62.6,0.448,Low,NA
atpF,156,78.2,0.396,Confident,NA
mngA,156,85,0.891,Confident,NA
yjjB,157,84.5,0.831,Confident,NA
group_1763,157,30.1,0.159,Very low,NA
group_1767,157,64.7,0.641,Low,NA
ykfG,157,75.5,0.72,Confident,NA
group_1773,157,78.8,0.499,Confident,NA
group_1775,157,86,0.877,Confident,NA
ybjN,158,79.1,0.828,Confident,NA
greA,158,82.4,0.734,Confident,NA
group_8419,158,75.7,0.72,Confident,NA
group_1623,158,68.2,0.458,Low,NA
bfr,158,90.1,0.904,Very high,NA
group_8930,158,74.9,0.805,Confident,NA
group_1634,158,89.4,0.919,Confident,NA
group_1636,158,64.9,0.423,Low,NA
coaD,159,85.7,0.881,Confident,NA
group_1505,159,76.6,0.532,Confident,NA
group_1508,159,60.4,0.602,Low,NA
group_1510,159,29.3,0.154,Very low,NA
group_1511,159,76.5,0.786,Confident,NA
group_1514,159,80.3,0.707,Confident,NA
group_9115,159,81.3,0.864,Confident,NA
group_1517,159,36.7,0.362,Very low,NA
group_1518,159,68.4,0.735,Low,NA
casB,160,79,0.843,Confident,NA
group_1391,160,35.3,0.224,Very low,NA
group_9003,160,80.5,0.763,Confident,NA
group_1392,160,55.4,0.555,Low,NA
group_1393,160,45.3,0.397,Very low,NA
moaC,161,84.7,0.873,Confident,NA
skp,161,82.2,0.67,Confident,NA
rraA,161,89.8,0.921,Confident,NA
group_1267,161,56.6,0.374,Low,NA
group_1268,161,86.1,0.882,Confident,NA
group_8749,161,42.6,0.376,Very low,NA
group_8863,161,52.4,0.4,Low,NA
group_1270,161,86.6,0.892,Confident,NA
group_8984,161,69,0.395,Low,NA
group_1273,161,76.6,0.807,Confident,NA
group_1278,161,76.3,0.794,Confident,NA
ybjO,162,69.4,0.685,Low,NA
iscR,162,71.9,0.706,Confident,NA
rfaH,162,65.6,0.673,Low,NA
group_8401,162,66.8,0.502,Low,NA
rrrD,162,88,0.897,Confident,NA
group_8738,162,73.9,0.649,Confident,NA
group_1159,162,77,0.735,Confident,NA
yfcQ,162,79.7,0.713,Confident,NA
yajQ,163,85.9,0.795,Confident,NA
ilvH,163,83.2,0.795,Confident,NA
ydeR_1,163,85.6,0.774,Confident,NA
group_1060,163,83.4,0.743,Confident,NA
lrp,164,84.2,0.797,Confident,NA
hybD,164,86,0.902,Confident,NA
lspA,164,82.3,0.853,Confident,NA
group_8558,164,80.7,0.694,Confident,NA
group_969,164,79.2,0.83,Confident,NA
sspB,165,63.9,0.563,Low,NA
group_864,165,68.2,0.33,Low,NA
rplJ,165,42,0.174,Very low,NA
group_868,165,75.6,0.797,Confident,NA
group_8723,165,76,0.757,Confident,NA
group_869,165,83.9,0.811,Confident,NA
group_871,165,76.7,0.384,Confident,NA
group_879,165,49.9,0.451,Very low,NA
nuoE,166,82.2,0.771,Confident,NA
group_792,166,63.2,0.503,Low,NA
group_797,166,75.7,0.377,Confident,NA
group_798,166,77.5,0.839,Confident,NA
dps,167,84.5,0.857,Confident,NA
ftnB,167,83.4,0.852,Confident,NA
yhbS,167,89.2,0.916,Confident,NA
rpsE,167,74.6,0.733,Confident,NA
group_683,167,60.3,0.382,Low,NA
group_686,167,73,0.609,Confident,NA
group_687,167,73.2,0.593,Confident,NA
group_8991,167,81.5,0.806,Confident,NA
group_9016,167,73.2,0.509,Confident,NA
fimG_2,167,87.2,0.786,Confident,NA
group_696,167,66.6,0.413,Low,NA
tpx,168,83.6,0.881,Confident,NA
group_8852,168,40.1,0.201,Very low,NA
group_606,168,52.7,0.35,Low,NA
purE,169,83.8,0.867,Confident,NA
group_486,169,73.9,0.823,Confident,NA
crr,169,85.1,0.84,Confident,NA
group_492,169,74.1,0.633,Confident,NA
group_8628,169,54.5,0.495,Low,NA
group_8929,169,78.1,0.848,Confident,NA
rutF_2,170,88.3,0.893,Confident,NA
group_412,170,73.8,0.724,Confident,NA
ompX,171,77.5,0.793,Confident,NA
tatB,171,58.2,0.218,Low,NA
group_8839,171,53.4,0.371,Low,NA
group_8866,171,79.9,0.768,Confident,NA
group_9188,171,70.7,0.487,Confident,NA
group_9254,171,66,0.638,Low,NA
pgpA,172,82,0.857,Confident,NA
group_252,172,69.5,0.642,Low,NA
group_8631,172,86.9,0.684,Confident,NA
group_257,172,86.8,0.694,Confident,NA
pal,173,84.3,0.713,Confident,NA
group_185,173,82.2,0.742,Confident,NA
group_187,173,79.7,0.641,Confident,NA
group_8993,173,80.2,0.408,Confident,NA
srlA_2,173,72.4,0.64,Confident,NA
group_191,173,72.4,0.682,Confident,NA
aroL,174,84.2,0.89,Confident,NA
ubiT,174,79.1,0.794,Confident,NA
cai,174,73.1,0.763,Confident,NA
wecD,174,82.3,0.862,Confident,NA
group_9282,174,73.4,0.402,Confident,NA
group_38,175,72.3,0.722,Confident,NA
group_42,175,38.4,0.176,Very low,NA
tpd,175,75.2,0.741,Confident,NA
group_44,175,76.6,0.697,Confident,NA
group_8546,175,67.1,0.642,Low,NA
group_46,175,86.1,0.768,Confident,NA
yfcP,175,86,0.774,Confident,NA
ybgD_2,175,86.7,0.782,Confident,NA
group_9299,175,68.7,0.772,Low,NA
fldA,176,90,0.928,Very high,NA
rppH,176,81.7,0.845,Confident,NA
hslV,176,87,0.899,Confident,NA
group_8245,176,66.9,0.731,Low,NA
group_9228,176,65.2,0.696,Low,NA
group_9244,176,53.8,0.416,Low,NA
wcaF_2,176,84.2,0.872,Confident,NA
rplF,177,76.6,0.755,Confident,NA
group_8150,177,83.7,0.883,Confident,NA
group_8154,177,72.2,0.78,Confident,NA
group_8279,178,75.6,0.803,Confident,NA
group_8069,178,77.2,0.644,Confident,NA
lacB,178,79.6,0.836,Confident,NA
group_8071,178,89,0.779,Confident,NA
group_8074,178,86,0.891,Confident,NA
group_8075,178,51.3,0.355,Low,NA
group_9176,178,46,0.292,Very low,NA
rplE,179,69.4,0.73,Low,NA
group_7986,179,88,0.661,Confident,NA
group_7989,179,81.5,0.786,Confident,NA
group_7990,179,85.6,0.759,Confident,NA
group_9045,179,60.8,0.525,Low,NA
group_7994,179,80.1,0.727,Confident,NA
group_9132,180,69.9,0.603,Low,NA
group_7890,180,89.5,0.868,Confident,NA
group_7891,180,86,0.865,Confident,NA
group_9306,180,83.2,0.867,Confident,NA
seqA,181,83.7,0.665,Confident,NA
orn,181,88.1,0.892,Confident,NA
nusG,181,72.4,0.565,Confident,NA
group_7792,181,88.3,0.629,Confident,NA
group_7793,181,71.5,0.513,Confident,NA
mepK,182,90.6,0.814,Very high,NA
pgsA,182,79.9,0.823,Confident,NA
rimM,182,77.7,0.567,Confident,NA
sfmF,182,85.5,0.797,Confident,NA
group_7678,182,75.2,0.745,Confident,NA
group_8714,182,82.1,0.885,Confident,NA
nohA,182,85.8,0.48,Confident,NA
group_7684,182,81.3,0.862,Confident,NA
apt,183,86.8,0.904,Confident,NA
yfcE,183,90.4,0.934,Very high,NA
group_7563,183,76.2,0.598,Confident,NA
yagU_1,183,78,0.817,Confident,NA
group_8733,183,83.4,0.877,Confident,NA
group_8988,183,80.2,0.726,Confident,NA
group_9015,183,84.9,0.869,Confident,NA
group_7581,183,85.6,0.442,Confident,NA
group_9234,183,88.5,0.917,Confident,NA
group_7583,183,79.7,0.458,Confident,NA
ycdY,184,87.1,0.913,Confident,NA
nuoJ,184,82.1,0.738,Confident,NA
group_9226,184,86.2,0.562,Confident,NA
lptA,185,88.1,0.771,Confident,NA
ccmG,185,92.8,0.836,Very high,NA
frr,185,85.8,0.819,Confident,NA
group_8754,185,81.2,0.626,Confident,NA
group_7324,186,87.4,0.849,Confident,NA
group_7327,186,86.7,0.798,Confident,NA
group_7400,186,94.2,0.914,Very high,NA
group_7256,187,87,0.896,Confident,NA
kdsC,188,86.4,0.903,Confident,NA
mepS,188,88.8,0.744,Confident,NA
satP,188,89.7,0.909,Confident,NA
efp,188,84.2,0.765,Confident,NA
group_7162,188,60,0.653,Low,NA
group_7168,188,33.1,0.154,Very low,NA
group_9060,188,84.1,0.727,Confident,NA
group_7169,188,85.5,0.894,Confident,NA
group_8841,189,78.6,0.581,Confident,NA
group_7083,189,78.5,0.569,Confident,NA
group_7088,189,76.7,0.617,Confident,NA
group_9301,189,73.7,0.827,Confident,NA
ybaY,190,83,0.635,Confident,NA
yeiP,190,79.5,0.65,Confident,NA
group_8400,190,83.3,0.575,Confident,NA
group_7017,190,36.9,0.187,Very low,NA
group_8875,190,88.3,0.892,Confident,NA
group_7027,190,59.8,0.496,Low,NA
yraP,191,89,0.818,Confident,NA
nfuA,191,75.6,0.55,Confident,NA
yhbO_2,191,86.6,0.912,Confident,NA
rsxB,192,81.7,0.542,Confident,NA
nudL,192,78.8,0.833,Confident,NA
gcvR,192,77.3,0.699,Confident,NA
group_6880,192,89.2,0.878,Confident,NA
gmhA,192,90.6,0.933,Very high,NA
group_8591,192,80.2,0.736,Confident,NA
sfaA,192,83.7,0.762,Confident,NA
group_6885,192,89.8,0.624,Confident,NA
yqiA,193,90.2,0.928,Very high,NA
group_6811,193,74.2,0.665,Confident,NA
group_6820,193,76,0.731,Confident,NA
vioB,193,93.8,0.938,Very high,NA
group_6821,193,76.8,0.708,Confident,NA
group_6799,194,91.7,0.921,Very high,NA
group_8718,194,83.6,0.738,Confident,NA
group_6741,194,86.8,0.504,Confident,NA
group_9120,194,78.1,0.758,Confident,NA
mog,195,87.9,0.881,Confident,NA
fdnG_2,195,73.6,0.564,Confident,NA
group_6683,195,64.9,0.483,Low,NA
diaA,196,88.1,0.917,Confident,NA
ribA,196,91.1,0.929,Very high,NA
group_6605,196,86.2,0.925,Confident,NA
group_8963,196,84.4,0.893,Confident,NA
group_6612,196,85.7,0.656,Confident,NA
group_6613,196,69,0.558,Low,NA
group_9272,196,57.7,0.465,Low,NA
yhgN,197,89.1,0.882,Confident,NA
group_6529,197,40,0.277,Very low,NA
group_6531,197,75.9,0.61,Confident,NA
slmA,198,89.8,0.916,Confident,NA
group_6482,198,56,0.52,Low,NA
group_6483,198,93.7,0.937,Very high,NA
group_9246,198,81.3,0.594,Confident,NA
group_6374,199,90.2,0.919,Very high,NA
napC,200,84.1,0.765,Confident,NA
group_8794,200,82,0.726,Confident,NA
group_8860,200,29.4,0.109,Very low,NA
recR,201,80.4,0.75,Confident,NA
rplD,201,77.1,0.73,Confident,NA
group_8506,201,92.6,0.712,Very high,NA
group_9064,201,86.9,0.908,Confident,NA
group_6248,202,80.1,0.619,Confident,NA
group_9121,202,81.9,0.77,Confident,NA
yiiX,202,92.2,0.901,Very high,NA
ruvA,203,75,0.639,Confident,NA
emtA,203,87.3,0.869,Confident,NA
group_9291,203,75.3,0.414,Confident,NA
cyoC,204,93.8,0.914,Very high,NA
yibF_2,204,93.1,0.955,Very high,NA
group_8717,204,83,0.663,Confident,NA
group_6177,204,87,0.883,Confident,NA
group_6180,204,83.3,0.835,Confident,NA
group_6183,204,43.2,0.293,Very low,NA
plsY,205,95.3,0.956,Very high,NA
group_6140,205,74.3,0.637,Confident,NA
ygiM,206,88,0.566,Confident,NA
coaE,206,83.8,0.824,Confident,NA
fklB,206,88.4,0.784,Confident,NA
yciO,206,87.3,0.914,Confident,NA
yfgM,206,83.8,0.739,Confident,NA
group_6100,206,91.8,0.898,Very high,NA
rpsD,206,86.4,0.9,Confident,NA
group_6103,206,80.9,0.724,Confident,NA
gmk,207,82.2,0.83,Confident,NA
group_6067,207,85.9,0.685,Confident,NA
group_9303,207,90.3,0.925,Very high,NA
yhhN,208,92.2,0.962,Very high,NA
group_8360,208,59.7,0.374,Low,NA
group_6057,208,93.4,0.955,Very high,NA
group_6036,208,89,0.93,Confident,NA
group_6037,208,90.6,0.939,Very high,NA
rlmE,209,88.1,0.905,Confident,NA
rplC,209,73.8,0.731,Confident,NA
ftsE_3,209,94.2,0.96,Very high,NA
group_6006,209,73,0.721,Confident,NA
fimB_4,209,87.4,0.894,Confident,NA
group_9154,209,85.4,0.871,Confident,NA
group_6007,209,90.3,0.934,Very high,NA
crp,210,85,0.839,Confident,NA
yihA,210,82,0.891,Confident,NA
group_5971,210,48.5,0.525,Very low,NA
group_5972,210,82.9,0.72,Confident,NA
group_5974,210,82.5,0.484,Confident,NA
group_5975,210,88.1,0.654,Confident,NA
group_9069,210,91.5,0.715,Very high,NA
mlaC,211,90.8,0.892,Very high,NA
group_8985,211,74.6,0.555,Confident,NA
group_5947,211,42.2,0.263,Very low,NA
ulaD_2,211,91.5,0.933,Very high,NA
rutR,212,90.7,0.892,Very high,NA
sspA,212,92.6,0.944,Very high,NA
purN,212,91.3,0.935,Very high,NA
nicS,212,89.8,0.916,Confident,NA
lpoB,213,89.5,0.697,Confident,NA
udk,213,95,0.955,Very high,NA
betI_3,213,88.4,0.832,Confident,NA
group_8715,213,85.2,0.712,Confident,NA
group_8973,213,89.8,0.668,Confident,NA
group_9054,213,89.9,0.708,Confident,NA
ytjB,214,81.6,0.696,Confident,NA
srp54,214,93.3,0.96,Very high,NA
group_8589,214,55.6,0.437,Low,NA
group_5841,214,89.8,0.781,Confident,NA
group_5843,214,87.6,0.922,Confident,NA
group_5846,214,69.9,0.416,Low,NA
group_5847,214,45.4,0.267,Very low,NA
group_9284,214,60.4,0.497,Low,NA
gloC,215,90.3,0.928,Very high,NA
rnt,215,91,0.924,Very high,NA
ychE,215,88.2,0.88,Confident,NA
group_8296,215,53.2,0.353,Low,NA
group_5815,215,82.6,0.635,Confident,NA
rcsB,216,91.9,0.858,Very high,NA
hxpA,216,88.5,0.889,Confident,NA
rutR_2,216,89.9,0.85,Confident,NA
group_5754,216,76.3,0.73,Confident,NA
ribB,217,94.4,0.96,Very high,NA
metI,217,75.7,0.763,Confident,NA
group_5712,217,95,0.966,Very high,NA
lexA_2,218,90.3,0.65,Very high,NA
group_5671,218,80.7,0.411,Confident,NA
group_5672,218,81.4,0.757,Confident,NA
proA_2,218,90.2,0.928,Very high,NA
atoA_2,218,86.6,0.885,Confident,NA
yiaD,219,83.6,0.738,Confident,NA
ycgM,219,93,0.955,Very high,NA
group_5641,219,77.8,0.774,Confident,NA
group_5642,219,31.2,0.201,Very low,NA
nanR_2,219,94.3,0.93,Very high,NA
group_9101,219,89.7,0.914,Confident,NA
group_9162,219,45.6,0.249,Very low,NA
yqjA,220,90.5,0.908,Very high,NA
ccmB,220,94.2,0.959,Very high,NA
nuoB,220,61.2,0.595,Low,NA
can,220,89.5,0.924,Confident,NA
group_5618,220,88.6,0.641,Confident,NA
group_5557,221,87.6,0.786,Confident,NA
group_5559,221,91.7,0.941,Very high,NA
tcyL,222,97.3,0.966,Very high,NA
pspA,222,83.8,0.71,Confident,NA
yrfG,222,87.1,0.9,Confident,NA
group_5532,222,87.1,0.817,Confident,NA
group_5533,222,83.7,0.529,Confident,NA
group_8611,223,88.3,0.855,Confident,NA
group_5499,223,83.4,0.733,Confident,NA
group_8606,224,91.5,0.934,Very high,NA
yhcA,224,87.1,0.85,Confident,NA
group_8990,224,79.6,0.752,Confident,NA
narI,225,84.7,0.896,Confident,NA
group_8784,225,68.9,0.356,Low,NA
rnc,226,83.2,0.659,Confident,NA
cusR_2,226,90.6,0.703,Very high,NA
group_5421,226,73.2,0.649,Confident,NA
sadB,226,76.7,0.556,Confident,NA
group_5423,226,84.2,0.921,Confident,NA
cmk,227,90.7,0.918,Very high,NA
group_9059,227,87.3,0.921,Confident,NA
group_5384,227,71.2,0.535,Confident,NA
group_5386,227,85.1,0.501,Confident,NA
group_5342,228,89.4,0.662,Confident,NA
group_5343,228,85.2,0.615,Confident,NA
group_5344,228,85,0.55,Confident,NA
group_5347,228,74.1,0.799,Confident,NA
group_5348,228,74.3,0.654,Confident,NA
phoB,229,91,0.645,Very high,NA
nanE,229,88.8,0.922,Confident,NA
group_5312,229,85.5,0.546,Confident,NA
group_9110,229,84,0.59,Confident,NA
torR,230,90.4,0.734,Very high,NA
yadV_2,230,87.7,0.857,Confident,NA
queC,231,86.3,0.914,Confident,NA
group_5238,231,78,0.842,Confident,NA
yohK_1,231,94.2,0.934,Very high,NA
minC,231,80.2,0.492,Confident,NA
group_5240,231,89.4,0.857,Confident,NA
ybbA_2,231,94.9,0.957,Very high,NA
mtn,232,89.6,0.933,Confident,NA
cpxR,232,90.8,0.859,Very high,NA
group_8906,232,76.1,0.754,Confident,NA
fucR_1,232,93.6,0.852,Very high,NA
group_5092,232,85,0.711,Confident,NA
group_9285,232,73.7,0.515,Confident,NA
lolD,233,95.6,0.964,Very high,NA
fre,233,89,0.931,Confident,NA
rpsC,233,90.4,0.867,Very high,NA
group_9118,233,91.1,0.897,Very high,NA
mukE,234,82.1,0.772,Confident,NA
ybhL,234,95.9,0.946,Very high,NA
rplA,234,94.9,0.949,Very high,NA
group_4866,234,84.4,0.686,Confident,NA
group_9305,234,79.2,0.42,Confident,NA
atoD_2,235,90.6,0.927,Very high,NA
group_4621,236,91.7,0.86,Very high,NA
group_4626,236,60.9,0.591,Low,NA
group_8881,236,83.5,0.868,Confident,NA
group_4639,236,90.6,0.949,Very high,NA
group_4640,236,93.2,0.848,Very high,NA
ycgR_2,236,89.1,0.819,Confident,NA
group_9231,236,81.7,0.853,Confident,NA
group_4497,237,90.5,0.919,Very high,NA
purC,237,95.9,0.966,Very high,NA
group_8385,237,80.9,0.593,Confident,NA
sdhB,238,87.3,0.888,Confident,NA
yfjR_1,238,79.2,0.665,Confident,NA
group_4419,238,86.9,0.916,Confident,NA
group_4424,238,89.8,0.593,Confident,NA
btsR,239,92.6,0.689,Very high,NA
deoD,239,93.4,0.958,Very high,NA
trmB,239,85.7,0.901,Confident,NA
group_4311,239,85.9,0.874,Confident,NA
group_8970,239,87.6,0.902,Confident,NA
group_4319,239,85.1,0.837,Confident,NA
baeR,240,88.6,0.657,Confident,NA
yheO,240,89.2,0.778,Confident,NA
group_4222,240,86.3,0.763,Confident,NA
group_4231,240,29.6,0.137,Very low,NA
group_4232,240,69.3,0.779,Low,NA
group_9249,240,83.3,0.878,Confident,NA
pyrH,241,91.9,0.944,Very high,NA
rpsB,241,95.9,0.958,Very high,NA
group_8557,241,88.9,0.769,Confident,NA
wcaE_1,241,83.4,0.885,Confident,NA
artP,242,94.2,0.957,Very high,NA
group_8399,242,68.5,0.459,Low,NA
group_4089,242,86,0.864,Confident,NA
artI,243,94.7,0.939,Very high,NA
rlmB,243,95.7,0.943,Very high,NA
frlR,243,92.9,0.81,Very high,NA
group_9022,243,84.7,0.913,Confident,NA
group_3986,243,87,0.911,Confident,NA
frdB,244,92.4,0.928,Very high,NA
cysH,244,85.7,0.908,Confident,NA
group_3886,244,83.8,0.704,Confident,NA
dnaC,245,87.9,0.834,Confident,NA
bamD,245,93,0.883,Very high,NA
group_8995,245,92.1,0.795,Very high,NA
group_9019,245,88.2,0.9,Confident,NA
group_9036,245,75.8,0.479,Confident,NA
group_3794,245,76.3,0.454,Confident,NA
group_9158,245,85.6,0.901,Confident,NA
yebC,246,88.1,0.773,Confident,NA
plsC,246,90.7,0.947,Very high,NA
trmJ,246,93.7,0.944,Very high,NA
ldtF,246,92.7,0.845,Very high,NA
group_3686,246,47.4,0.256,Very low,NA
group_8972,246,63.2,0.448,Low,NA
group_3688,246,92.6,0.932,Very high,NA
group_3693,246,84.6,0.63,Confident,NA
group_9319,246,92.4,0.954,Very high,NA
cmoA,247,87.6,0.924,Confident,NA
yciC,247,94.4,0.955,Very high,NA
group_3548,247,83.1,0.867,Confident,NA
group_8520,247,93,0.962,Very high,NA
dgaF,247,89,0.926,Confident,NA
group_3557,247,92.2,0.961,Very high,NA
group_8987,247,84.6,0.761,Confident,NA
ydfG,248,88.7,0.928,Confident,NA
yegW,248,91.8,0.826,Very high,NA
group_3435,248,78.4,0.861,Confident,NA
xerD_2,248,86.1,0.748,Confident,NA
uxuR_1,249,90,0.756,Very high,NA
group_3358,249,88.6,0.593,Confident,NA
yaaW_2,249,83.4,0.908,Confident,NA
sepA,249,73.1,0.765,Confident,NA
group_3361,249,90.3,0.95,Very high,NA
group_3363,249,83.5,0.62,Confident,NA
gpmA,250,92.2,0.943,Very high,NA
fimC_5,250,85.2,0.799,Confident,NA
group_3285,250,92.4,0.761,Very high,NA
group_3290,250,95.1,0.964,Very high,NA
mlaA,251,87.2,0.835,Confident,NA
ubiE,251,89.4,0.928,Confident,NA
group_3262,251,83.9,0.87,Confident,NA
group_9191,251,74.8,0.801,Confident,NA
group_9256,251,78.1,0.813,Confident,NA
ydjF,252,84.5,0.736,Confident,NA
group_3126,252,76.9,0.463,Confident,NA
group_3133,252,86.9,0.724,Confident,NA
group_9128,252,90.3,0.758,Very high,NA
deoR,253,91.1,0.795,Very high,NA
ybhP,253,85.1,0.931,Confident,NA
ygbI_1,253,93.5,0.842,Very high,NA
cysZ,253,91.6,0.918,Very high,NA
umpG,253,90.1,0.911,Very high,NA
nqrC,253,91.1,0.903,Very high,NA
group_3059,253,87.5,0.845,Confident,NA
pdhR,254,93.3,0.848,Very high,NA
yfaX_2,254,92.1,0.74,Very high,NA
xynR,255,93.4,0.834,Very high,NA
yafJ,255,91.1,0.951,Very high,NA
idnO_3,255,96.3,0.974,Very high,NA
group_8620,255,79.8,0.784,Confident,NA
tauB_3,255,95.1,0.965,Very high,NA
garL,256,94.8,0.958,Very high,NA
ucpA_2,256,94.5,0.961,Very high,NA
hisP,257,94.8,0.963,Very high,NA
tpiA,257,91.2,0.942,Very high,NA
srlR_2,257,94.7,0.926,Very high,NA
group_2789,257,81,0.871,Confident,NA
tatC,258,93.3,0.923,Very high,NA
lutR,258,89,0.706,Confident,NA
group_8992,258,93,0.947,Very high,NA
deoC,259,95,0.954,Very high,NA
srlD,259,93.1,0.954,Very high,NA
deoR_2,260,89.5,0.74,Confident,NA
znuB_1,261,94.9,0.963,Very high,NA
flgG_2,261,93.3,0.923,Very high,NA
pduB,261,78.9,0.791,Confident,NA
group_2514,261,94.7,0.936,Very high,NA
lpxA,262,90.5,0.935,Very high,NA
fabI,262,88.4,0.927,Confident,NA
csqR_2,262,93.1,0.818,Very high,NA
paaG,262,80.5,0.861,Confident,NA
ant1,262,93.4,0.949,Very high,NA
ucpA,263,95.7,0.967,Very high,NA
virF,263,83.7,0.674,Confident,NA
group_8402,263,27.5,0.147,Very low,NA
